A person firing a gun can accidentally kill himself if his bullet ricochets off three surfaces and returns to him.	Busted
A medieval army laying siege to a castle could have used nearby coniferous trees as an improvised catapult to hurl diseased corpses over the wall.	Busted
While a city bus is turning at 50 miles per hour (80 km/h), all the passengers need to move to the inside of the turn if the bus is to stay upright. Myth inspired by a scene in Speed. 	Busted
A car driving at 142 miles per hour (229 km/h) can beat an identical car falling at terminal velocity in a race at a distance of 4,000 feet (1,200 m). This myth is based on a car advertisement. 	Busted
Two big rigs that collide head on can completely flatten a compact car between them. 	Busted
A V-shaped snowplow is capable of perfectly bifurcating a car front to rear in a head on collision, while the driver and the passenger both escape unharmed. 	Busted
A single banana peel on the ground is guaranteed to cause the person who steps on it to slip and fall. 	Busted
The act of double dipping a chip (and therefore transferring microbes from one's mouth into the dip on the second pass) is the equivalent of putting all of the dip directly into one's mouth. The myth was inspired by the Seinfeld episode The Implant. 	Busted
If the heads of 30,000 matches are gathered together and ignited, they will create a large fireball. 	Confirmed
A 7-foot ball built from 5 million LEGO bricks can be easily pushed off the top of a hill, roll down, and bounce off a parked car without doing any damage. 	Busted
A car tire can be spun so fast that friction with the ground will cause it to not only smoke, but actually catch fire. 	Busted
A person can make a working speaker out of a paper plate, tin foil, a penny, and a minijack, for under a dollar. This myth was inspired by a video from the Household Hacker. 	Busted
It is possible to swim as fast through syrup as through water. 	Plausible
It is possible to blow open a lock by packing it with the gunpowder from six revolver cartridges, fitting an empty cartridge casing to it, and hitting the primer with the butt of a gun. Based on an episode of MacGyver. 	Busted
Davy Crockett could fire a shot from his musket and split the bullet on the blade of an axe stuck in a tree 40 yards away. 	Confirmed
A car bumper can explode in a car fire and fly across 50 feet (15 m) to knee-cap a person. 	Busted
Hungarian archers got twice the penetration shooting a bow from a galloping horse than from shooting stationary. 	Busted
A skydiver whose parachute fails to open can hit the high end of a playground seesaw, landing on his feet, and launch a child on the low end safely up to the roof of a 7-story building. 	Busted
Igniting a bucket full of thermite on top of a bunch of blocks of ice will cause an explosion. 	Confirmed
